station_id,latitude,longitude
370102001,117.0334607,36.66477755
370102002,117.0273059,36.64735925
370102003,117.0141989,36.64729725
370102004,117.0142755,36.66948067
370102005,117.0239914,36.67041403
370102006,117.0389056,36.67945613
370102007,117.0442107,36.64467985
370102008,117.0458719,36.66950866
370102009,117.0625488,36.65917021
370102011,117.0548565,36.65844904
370102013,117.0820039,36.65751659
370102014,117.1395785,36.68579553
370102015,117.1050402,36.62394111
370102016,117.1225767,36.68017774
370103002,116.9879576,36.66264169
370103003,116.9925117,36.65264321
370103004,116.9960665,36.64200915
370103006,116.9974175,36.66269038
370103008,116.983337,36.63536493
370103009,116.9845391,36.62284847
370103010,116.998283,36.62067678
370103012,117.0128926,36.62353815
370103014,117.0055095,36.65773993
370103015,116.9574784,36.63046582
370103016,117.0267352,36.61669776
370103017,116.9265206,36.63327454
370103018,116.9524874,36.60660111
370103019,116.9863834,36.56329751
370103020,117.0845205,36.57817614
370103021,116.910002,36.54385441
370103022,116.868576,36.60432429
370104001,116.9708108,36.64156586
370104002,116.9564877,36.66331087
370104003,116.9645796,36.65287086
370104006,116.9507689,36.65351651
370104007,116.9782742,36.65056597
370104008,116.9536962,36.64261657
370104009,116.9334698,36.65473859
370104010,116.9162927,36.67098402
370104011,116.9383966,36.67756331
370104012,116.9018553,36.72405233
370104013,116.8769466,36.67142869
370104014,116.8268996,36.65316311
370104015,116.8802616,36.63540401
370104016,116.8524369,36.70446874
370105001,116.9776,36.68396469
370105004,116.9822496,36.69822033
370105005,116.9901899,36.68950342
370105006,116.9620233,36.67895793
370105007,117.007165,36.67684527
370105009,117.0069487,36.66935212
370105010,116.9720925,36.67122408
370105011,116.986392,36.67733943
370105012,116.9913496,36.67308509
370105013,116.9474821,36.71565135
370105014,117.0239569,36.69592501
370105015,116.9940182,36.72314102
370105016,116.9125229,36.78890891
370105017,117.0047469,36.80133821
370112001,117.05907,36.67609124
370112002,117.0562212,36.68714737
370112003,117.0777901,36.68988405
370112004,117.068326,36.70482717
370112006,117.1746964,36.74061082
370112007,117.2129054,36.69440236
370112008,117.2230383,36.81290235
370112009,117.058455,36.73759266
370112010,117.1291945,36.73241648
370112012,117.1830186,36.61865092
370112014,117.3329819,36.67306091
370112015,117.2793204,36.69425338
370112016,117.059682,36.48556269
370112017,117.290501,36.60096823
370112018,117.2639385,36.75853478
370112019,117.1295642,36.41160272
370112020,117.2923866,36.82534564
370112021,117.2437323,36.4993192
370113001,116.7197053,36.5421512
370113002,116.8240611,36.51447952
370113003,116.7831005,36.61105911
370113004,116.8177166,36.42333424
370113005,116.6723349,36.46595683
370113006,116.9305878,36.42016937
370113007,116.9471734,36.31654402
370113008,116.6035341,36.37007427
370113107,116.7773402,36.37062233
370113108,116.7013337,36.3334282
370114001,117.524449,36.73790769
370114002,117.5193674,36.67040997
370114004,117.3747904,36.76463989
370114007,117.659028,36.73013875
370114009,117.5765417,36.78547745
370114011,117.6435469,36.61165736
370114013,117.4312002,36.82226219
370114014,117.2827147,36.91065912
370114016,117.4970283,36.90731819
370114017,117.2855395,36.99563441
370114105,117.4106046,36.50107141
370115001,117.2080508,37.01649728
370115002,117.1543362,36.97131349
370115003,116.9968223,36.90959853
370115004,117.117967,36.93839631
370115005,117.0988698,36.84458265
370115006,116.9867937,36.98392798
370115007,117.1110909,37.06955253
370115008,117.2796556,37.12717938
370115103,117.3893508,37.14848298
370115104,116.9826582,37.07479892
370116001,117.6434648,36.21092963
370116002,117.6681035,36.2625807
370116003,117.6421201,36.12663041
370116004,117.7416941,36.22582693
370116005,117.6199859,36.32977441
370116006,117.5359794,36.32948581
370116007,117.5467462,36.23298624
370116008,117.5339046,36.45234664
370116103,117.5161692,36.14905777
370116104,117.7913792,36.32416702
370116106,117.4208282,36.3846284
370116107,117.4459272,36.30373512
370116108,117.44691,36.24612452
370116109,117.6803767,36.46763179
370116110,117.8113037,36.3890385
370117001,117.780801,36.04827121
370117002,117.8481078,36.13474934
370117003,117.8924514,36.05923674
370117004,117.7371274,36.11725971
370117005,117.8588428,36.22048462
370124001,116.4600388,36.26924672
370124002,116.4106967,36.28692958
370124102,116.2918028,36.18388996
370124103,116.4605755,36.10436196
370124104,116.4267068,36.16619927
370124105,116.304014,36.09877868
370124106,116.3643785,36.2381531
370124107,116.5291765,36.30796723
370126001,117.1557775,37.27922533
370126101,117.1476678,37.42024016
370126102,117.0440373,37.39614322
370126103,117.1195567,37.17857306
370126104,117.3267007,37.37351872
370126105,117.3580394,37.28181924
370126106,117.0535627,37.2895468
370126108,117.2640851,37.21349017
370126109,117.2394955,37.31123109
370126110,117.2407608,37.48684772
370126111,117.2641748,37.41642696
370126112,117.0838959,37.350241
